Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type
3 Water ,16.9,0,50,3.0,water
AHA Sparkling Water,12.0,0,30,2.5,water
Arti Sparkling Water,12.0,0,120,10.0,water
Bubbl'r Sparkling Water,12.0,5,69,5.8,water
Bubly Bounce Sparkling Water,12.0,0,35,2.9,water
Bubly Sparkling Water,12.0,0,0,0.0,water
Caribou BOUsted Sparkling Water,11.5,0,75,6.5,water
GURU Sparkling Energy Water,12.0,0,100,8.3,water
Heroec Energy Water,16.9,0,60,3.6,water
Hint Caffeine Kick Water,16.0,0,60,3.8,water
La Croix Sparkling Water,12.0,0,0,0.0,water
Limitless Sparkling Water,12.0,0,35,2.9,water
MiO Energy Water Enhancer,8.0,0,60,7.5,water
Monster Tour Water,16.0,0,0,0.0,water
Pep Talk Sparkling Water,12.0,0,55,4.6,water
Perrier Energize,8.46,35,99,11.7,water
Perrier Sparkling Water,11.15,0,0,0.0,water
Phocus Sparkling Water,11.5,0,75,6.5,water
Poland Spring Sparkling Energy Water,11.5,35,75,6.5,water
Polar Frost Plus Energy,17.0,10,67,3.9,water
Polar Seltzer Water,12.0,0,0,0.0,water
Sparkling Ice +Caffeine,16.0,5,70,4.4,water
Tonic Water,10.0,110,0,0.0,water
VitaminWater Energy ,20.0,100,50,2.5,water
VitaRain Zero Enhanced Water,20.0,0,42,2.1,water
Water Joe,20.0,0,70,3.5,water
Yerbae Sparkling Water,12.0,0,100,8.3,water
7-Up,12.0,140,0,0.0,soda
A&W Cream Soda,12.0,170,0,0.0,soda
A&W Root Beer,12.0,170,0,0.0,soda
A&W Zero Sugar Cream Soda,12.0,0,0,0.0,soda
Afri Cola,11.16,139,83,7.4,soda
Ale 8 1,12.0,120,37,3.1,soda
Barqs Red Creme Soda,12.0,170,0,0.0,soda
Barqs Root Beer,12.0,160,22,1.8,soda
Bawls,16.0,190,102,6.4,soda
Big Red Soda,12.0,150,34,2.8,soda
Boost Nutritional Drink,8.0,240,5,0.6,soda
Canada Dry Green Tea Ginger Ale,12.0,140,9,0.8,soda
Cheerwine,12.0,150,47,3.9,soda
Coca-Cola Caffeine Free,12.0,140,0,0.0,soda
