Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
7-Up,12.0,140.0,0.0,0.0,Soda,,
A&W Cream Soda,12.0,170.0,0.0,0.0,Soda,,
A&W Root Beer,12.0,170.0,0.0,0.0,Soda,,
A&W Zero Sugar Cream Soda,12.0,0.0,0.0,0.0,Soda,,
Afri Cola,11.16,139.0,83.0,7.4,Soda,,
Ale 8 1,12.0,120.0,37.0,3.1,Soda,,
Barqs Red Creme Soda,12.0,170.0,0.0,0.0,Soda,,
Barqs Root Beer,12.0,160.0,22.0,1.8,Soda,,
Bawls,16.0,190.0,102.0,6.4,Soda,,
Big Red Soda,12.0,150.0,34.0,2.8,Soda,,
Boost Nutritional Drink,8.0,240.0,5.0,0.6,Soda,,
Canada Dry Green Tea Ginger Ale,12.0,140.0,9.0,0.8,Soda,,
Cheerwine,12.0,150.0,47.0,3.9,Soda,,
Coca-Cola Caffeine Free,12.0,140.0,0.0,0.0,Soda,,
Coca-Cola Cherry,12.0,150.0,34.0,2.8,Soda,,
Coca-Cola Cherry Zero Sugar,12.0,0.0,34.0,2.8,Soda,,
Coca-Cola Classic,12.0,140.0,34.0,2.8,Soda,,
Coca-Cola Orange Vanilla,12.0,140.0,34.0,2.8,Soda,,
Coca-Cola Vanilla,12.0,150.0,34.0,2.8,Soda,,
Coca-Cola Vanilla Zero Sugar,12.0,0.0,34.0,2.8,Soda,,
Coca-Cola With Coffee,12.0,70.0,69.0,5.8,Soda,,
Coca-Cola Zero Sugar,12.0,0.0,34.0,2.8,Soda,,
Diet Barqs Root Beer,12.0,0.0,0.0,0.0,Soda,,
Diet Cheerwine,12.0,0.0,47.0,3.9,Soda,,
Diet Coke,12.0,0.0,46.0,3.8,Soda,,
Diet Coke with Splenda,12.0,0.0,46.0,3.8,Soda,,
Diet Dr Pepper,12.0,0.0,41.0,3.4,Soda,,
Diet Mountain Dew,12.0,0.0,54.0,4.5,Soda,,
Diet Pepsi,12.0,0.0,35.0,2.9,Soda,,
Diet RC Cola,12.0,0.0,48.0,4.0,Soda,,
Diet Wild Cherry Pepsi,12.0,0.0,38.0,3.2,Soda,,
doc Soda,12.0,150.0,60.0,5.0,Soda,,
Double Cola,12.0,160.0,36.0,3.0,Soda,,
Dr Pepper,12.0,150.0,42.0,3.5,Soda,,
Dr Pepper 10,12.0,10.0,51.0,4.2,Soda,,
Dr Shasta Soda,12.0,0.0,29.0,2.4,Soda,,
Fanta,12.0,160.0,0.0,0.0,Soda,,
Faygo Cola,12.0,165.0,43.0,3.6,Soda,,
Faygo Moon Mist,12.0,150.0,20.0,1.6,Soda,,
Fresca,12.0,0.0,0.0,0.0,Soda,,
Fritz Kola (EU),11.16,135.0,83.0,7.4,Soda,,
Ginger Ale,12.0,140.0,0.0,0.0,Soda,,
Green Cola,12.0,0.0,37.0,3.1,Soda,,
IBC Root Beer,12.0,160.0,0.0,0.0,Soda,,
Inca Kola,12.0,140.0,38.0,3.2,Soda,,
Kickapoo Soda: Joy Juice & Fruit Shine,12.0,190.0,40.0,3.3,Soda,,
Mello Yello,12.0,170.0,51.0,4.2,Soda,,
Mountain Dew,12.0,170.0,54.0,4.5,Soda,,
Mountain Dew Baja Blast,12.0,170.0,54.0,4.5,Soda,,
Mountain Dew Code Red,12.0,170.0,54.0,4.5,Soda,,
Mountain Dew Kickstart,16.0,80.0,90.0,5.6,Soda,,
Mountain Dew Live Wire,12.0,180.0,54.0,4.5,Soda,,
Mountain Dew Major Melon,12.0,160.0,55.0,4.6,Soda,,
Mountain Dew Voltage,12.0,170.0,55.0,4.6,Soda,,
Mountain Dew Zero Sugar,12.0,0.0,68.0,5.7,Soda,,
Moxie Soda,12.0,140.0,24.0,2.0,Soda,,
