Name,Release Year,Source,
28 Black Energy Drink,2008,https://www.28black.com/en-US/about-us.html,
3D Energy Drink,2017,https://www.stack3d.com/2018/08/3d-energy.html,
4 Purpose Energy Drink,2016,https://www.bevnet.com/news/2017/4-purpose-energy-drink-marks-one-year-anniversary,
ABB Turbo Tea Zero,2016,https://dsld.od.nih.gov/label/57387,
Adrenaline Shoc,2019,"https://www.prnewswire.com/news-releases/serial-beverage-entrepreneur-lance-collins-launches-adrenaline-shoc-300833592.html#:~:text=BEVERLY%20HILLS%2C%20Calif.%2C%20April,designed%20for%20today's%20active%20generation.",
Alani Nu Energy Drink,2018,https://www.reuters.com/markets/deals/energy-drink-maker-alani-nu-explores-options-including-sale-2023-07-18/,
ALL IN Energy Drink,2016,https://www.drinkallin.com/pages/about-us,
Amino Force Energy Drink,2016,https://dsld.od.nih.gov/label/56411,
Arizona Arnold Palmer Half and Half,2001,https://www.arnoldpalmer.com/beverages,
Arizona Energy Drink Rx,2001,https://caffeinepark.com/arizona-energy-drink-rx-caffeine-494/,
Bai Antioxidant Infusion,2009,https://www.bevnet.com/news/2011/waking-up-to-coffee-fruit/,
Bai Boost,2021,https://www.beverage-digest.com/articles/422-dr-pepper-zero-sugar-bai-boost-extensions-to-launch-in-march?v=preview,
Bang Energy,2012,https://www.bevnet.com/news/2017/the-bang-revolution/,
Bang Keto Coffee,2019,https://www.schottdistributing.com/2018/11/30/new-bang-keto-coffee-now-available/,
Bang Natural,2019,https://thesuppplug.blogspot.com/2019/11/bang-energy-rolls-out-all-new-natural.html,
Bang Sweet Tea,2018,https://markets.businessinsider.com/news/stocks/bang-shocks-beverage-world-with-triple-threat-tea-se-launch-1023013012,
BE Beyond Energy Drink,2014,https://pitchbook.com/profiles/company/520469-02#overview,
Beaver Buzz Energy Drink,2005,https://www.businesswire.com/news/home/20150602005504/en/Canadian-Underdog-Celebrates-Ten-Dam-Good-Years,
BEEBAD Energy Drink,2017,"https://www.specialtyfood.com/news/article/beebad-a-revolutionary-honey-powered-energy-drink-to-debut-at-the-2017-summer-fancy-food-show-booth-4500-june-25-27-2017-124494/#:~:text=06%2F22%2F2017-,BEEBAD%2C%20A%20REVOLUTIONARY%20HONEY%2DPOWERED%20ENERGY%20DRINK%2C%20TO%20DEBUT,%2C%20June%2025%2D27%2C%202017&text=Healthy%2C%20great%2Dtasting%20beverage%20has%20people%20buzzing.",
Bing Energy Drink,2006,https://bingbeverage.com/,
Black Bruin Energy Drink,1997,https://www.facebook.com/blackbruintr/about_details,
Blu Frog Energy Drink,2008,https://blufrog.wordpress.com/,
Bodyarmour Edge,2021,https://www.bevindustry.com/articles/93855-bodyarmor-releases-caffeinated-sports-drink,
Bomb Energy Drink,2009,https://www.prnewswire.com/news-releases/canadian-energy-drink-companys-growth-on-fire-no-dragons-required-516524491.html,
Bomba (EU),1994,https://issuu.com/bombaenergy0/docs/bomba_energy_drink_evaluation_criti,
Boost Energy (UK),2001,"https://www.boostdrinks.com/about-boost/#:~:text=We%20were%20founded%20in%202001,and%20iced%20coffee%20you%20know!",
BreinFuel,2020,https://www.prnewswire.com/news-releases/launch-of-breinfuel-ignites-functional-beverage-category-with-high-performance-nootropic-beverage-301193860.html,
Bucked Up,2019,https://voyageutah.com/interview/meet-ryan-gardner-of-bucked-up/,
Burn Energy Drink,2002,"https://www.bevnet.com/news/2009/1-15-2009-burn_for_sale/#:~:text=BURN%2C%20launched%20in%20February%202002,brands%20and%20actually%20tasting%20great.",
C4 Energy Drink,2018,https://reizeclub.com/is-c4-energy-drink-bad-for-you/,
C4 On The Go,2018,https://reizeclub.com/is-c4-energy-drink-bad-for-you/,
C4 Smart Energy Drink,2020,https://www.prnewswire.com/news-releases/new-c4-smart-energy-unlocks-superbrain-performance-300999787.html,
C4 Ultimate Energy Drink,2018,https://www.stack3d.com/2018/05/c4-ultimate-energy-drink.html,
Carabao Energy Drink (UK),2002,https://www.asianfoodlovers.com/en/energy-drink-150-ml-462,
Celsius Energy Drink,2009,"https://celsiussverige.se/about-celsius/?lang=en#:~:text=CELSIUS%20is%20the%20original%20functional,functional%20drinks%20and%20energy%20drinks.",
Celsius Heat Energy Drink,2017,https://www.prnewswire.com/news-releases/celsius-newest-product-launch-celsius-heat-selected-as-one-of-beverage-industrys-2017-innovations-of-the-year-300567519.html,
