state_id,entity_id,state,local_updated,local_changed
14866563,binary_sensor.freezer_contact,on,"2022-10-26 08:19:01",
14866573,binary_sensor.fridge_contact,on,"2022-10-26 08:19:11",
14868212,binary_sensor.freezer_contact,on,"2022-10-26 09:42:14",
14868304,binary_sensor.fridge_contact,on,"2022-10-26 09:44:14",
14868338,binary_sensor.fridge_contact,on,"2022-10-26 09:45:03",
14869861,binary_sensor.fridge_contact,on,"2022-10-26 10:16:04",
14870841,binary_sensor.fridge_contact,on,"2022-10-26 10:37:02",
14889725,binary_sensor.fridge_contact,on,"2022-10-26 17:42:11",
14894588,binary_sensor.fridge_contact,on,"2022-10-26 21:48:50",
14903774,binary_sensor.fridge_contact,on,"2022-10-27 01:15:09",
14904732,binary_sensor.fridge_contact,on,"2022-10-27 01:32:44",
14924417,binary_sensor.fridge_contact,on,"2022-10-27 08:52:52",
14924433,binary_sensor.fridge_contact,on,"2022-10-27 08:53:04",
14926282,binary_sensor.fridge_contact,on,"2022-10-27 09:35:05",
14935964,binary_sensor.fridge_contact,on,"2022-10-27 12:50:35",
14936779,binary_sensor.fridge_contact,on,"2022-10-27 13:04:16",
14936845,binary_sensor.fridge_contact,on,"2022-10-27 13:05:18",
14936849,binary_sensor.freezer_contact,on,"2022-10-27 13:05:23",
14936961,binary_sensor.fridge_contact,on,"2022-10-27 13:07:00",
14937017,binary_sensor.fridge_contact,on,"2022-10-27 13:07:40",
14937231,binary_sensor.fridge_contact,on,"2022-10-27 13:11:15",
14937709,binary_sensor.fridge_contact,on,"2022-10-27 13:19:28",
14937764,binary_sensor.fridge_contact,on,"2022-10-27 13:20:19",
14937778,binary_sensor.fridge_contact,on,"2022-10-27 13:20:34",
14937826,binary_sensor.fridge_contact,on,"2022-10-27 13:21:10",
14941136,binary_sensor.fridge_contact,on,"2022-10-27 14:29:20",
14941740,binary_sensor.fridge_contact,on,"2022-10-27 14:41:59",
14941758,binary_sensor.freezer_contact,on,"2022-10-27 14:42:15",
14942826,binary_sensor.freezer_contact,on,"2022-10-27 15:02:28",
14950250,binary_sensor.fridge_contact,on,"2022-10-27 17:29:00",
14961937,binary_sensor.fridge_contact,on,"2022-10-27 22:20:27",
14962644,binary_sensor.fridge_contact,on,"2022-10-27 22:34:15",
14981033,binary_sensor.fridge_contact,on,"2022-10-28 08:19:32",
14981062,binary_sensor.freezer_contact,on,"2022-10-28 08:19:56",
14981079,binary_sensor.freezer_contact,on,"2022-10-28 08:20:11",
14981680,binary_sensor.fridge_contact,on,"2022-10-28 08:32:18",
14981688,binary_sensor.freezer_contact,on,"2022-10-28 08:32:21",
14989141,binary_sensor.fridge_contact,on,"2022-10-28 11:16:10",
14990664,binary_sensor.fridge_contact,on,"2022-10-28 11:46:52",
14990955,binary_sensor.fridge_contact,on,"2022-10-28 11:52:00",
14991185,binary_sensor.fridge_contact,on,"2022-10-28 11:56:12",
14991259,binary_sensor.fridge_contact,on,"2022-10-28 11:57:34",
