Day,Door,Duration (m),Energy (kWh)
2022-10-26,Fridge,2.71666668355465,1.22436083575152
2022-10-27,Fridge,4.21666592359543,2.55602444210909
2022-10-28,Fridge,11.1666651070118,2.071026397058
2022-10-29,Fridge,27.5666633248329,2.34962472643219
2022-10-30,Fridge,16.3166673481464,3.22970267517306
2022-10-31,Fridge,7.75000154972076,3.13417147807628
2022-11-07,Fridge,11.9000004976988,2.86774313786477
2022-11-08,Fridge,18.1166683137417,2.38947985458858
2022-11-09,Fridge,21.8999972194433,2.70440819429196
2022-11-10,Fridge,14.233333915472,2.8417042761337
2022-11-11,Fridge,10.5499997735023,2.66969389028326
2022-11-12,Fridge,11.6833316534758,2.73861287879348
2022-11-13,Fridge,13.0166658014059,2.60750044422895
2022-11-14,Fridge,12.8833385556936,2.2699369437553
2022-11-15,Fridge,15.0500001758337,2.82687337773107
2022-11-16,Fridge,9.9999987334013,2.02887105264701
2022-11-17,Fridge,17.949997857213,2.91976157767251
2022-11-18,Fridge,14.4833305478096,2.46609313875474
2022-11-19,Fridge,17.1166650205851,2.52138266761489
2022-11-20,Fridge,9.09999892115593,2.02983666891307
2022-11-21,Fridge,6.78333342075348,2.00396810056306
2022-11-22,Fridge,13.3666699379683,2.35597261239812
2022-11-23,Fridge,13.9333301782608,2.68017519225217
2022-11-24,Fridge,20.3833320736885,2.78249981278963
2022-11-25,Fridge,14.1833375394344,3.21691133255996
2022-11-26,Fridge,7.749999538064,2.34669877736717
2022-11-27,Fridge,9.56666842103004,2.08884830880091
2022-11-28,Fridge,12.616667971015,2.34974458551072
2022-11-29,Fridge,12.9833326488733,2.59146427546665
2022-11-30,Fridge,11.4999993145466,2.87763588963859
2022-12-01,Fridge,3.40000033378601,1.68577035459392
2022-12-02,Fridge,4.70000132918358,1.89932499961518
2022-12-03,Fridge,4.13333237171173,1.42152906169407
2022-12-04,Fridge,6.24999694526196,2.16624075396135
2022-12-05,Fridge,11.033331155777,1.77966975274868
2022-12-06,Fridge,6.45000323653221,2.09351619356275
2022-12-07,Fridge,12.0000006258488,1.92308152931146
2022-12-08,Fridge,4.06666740775108,1.68165064045452
2022-12-09,Fridge,8.44999574124813,2.04017391579151
2022-12-10,Fridge,12.8999997675419,2.04081075153574
2022-12-11,Fridge,4.09999988973141,1.63909916977063
2022-12-12,Fridge,12.1999981999397,2.05727713978998
2022-12-13,Fridge,4.80000011622906,1.59290869073421
2022-12-14,Fridge,5.86666569113731,1.65977422350124
2022-12-15,Fridge,8.19999977946281,1.64991688972302
2022-12-16,Fridge,4.95000064373016,1.60409249769934
2022-12-17,Fridge,8.78332860767841,1.91692777846567
2022-12-18,Fridge,6.1333342641592,1.55155638352744
2022-12-19,Fridge,3.40000100433826,1.75044416753389
2022-12-20,Fridge,2.89999902248383,1.14896110834591
2022-12-21,Fridge,1.9333329051733,1.44593702632338
2022-12-22,Fridge,6.09999977052212,1.84175288700499
2022-12-23,Fridge,1.76666580140591,1.38742197097912
2022-12-24,Fridge,0.0,0.930904218178242
2022-12-25,Fridge,0.0,0.929990831891075
2022-12-26,Fridge,0.0,0.782658606421575
2022-12-27,Fridge,7.10000172257423,1.36391938740201
2022-12-28,Fridge,0.0666669756174088,1.03317610851489
2022-12-29,Fridge,0.366666689515114,0.873167221509665
2022-12-30,Fridge,0.716666132211685,1.2013799774006
2022-12-31,Fridge,0.0833335518836975,0.489541945859045
2023-01-01,Fridge,4.55000080168247,1.09069525526986
2023-01-02,Fridge,18.4000007808208,2.22922499999888
2023-01-03,Fridge,12.3500020802021,2.40261041890718
2023-01-04,Fridge,11.366668716073,1.94811388565116
2023-01-05,Fridge,6.51666484773159,2.10957421975695
2023-01-06,Fridge,5.73333643376827,2.06972700585499
2023-01-07,Fridge,4.08333264291286,1.75440208504647
2023-01-08,Fridge,12.4666674435139,1.95821972519495
2023-01-09,Fridge,16.0499981045723,2.15590349464864
2023-01-10,Fridge,19.9666676670313,2.46587488936745
2023-01-11,Fridge,6.94999985396862,1.96031583452448
2023-01-12,Fridge,13.4000024199486,2.05910772533901
2023-01-13,Fridge,6.8833315372467,1.84704566239379
2023-01-14,Fridge,4.91666682064533,1.58734572359025
2023-01-15,Fridge,12.6666650176048,1.99859953110963
2023-01-16,Fridge,15.7333338260651,2.21966767100506
2023-01-17,Fridge,12.3333341628313,1.85560769722313
2023-01-18,Fridge,11.6166693717241,1.79367294320092
2023-01-19,Fridge,5.09999915957451,1.69038723093309
2023-01-20,Fridge,7.74999886751175,1.6369658342924
2023-01-21,Fridge,5.98333306610584,1.65605777491629
2023-01-22,Fridge,5.53333215415478,1.64001590732932
2023-01-23,Fridge,6.81666724383831,1.70589760740213
2023-01-24,Fridge,9.64999727904797,1.61525472401753
2023-01-25,Fridge,5.28333485126495,1.72768255801164
2023-01-26,Fridge,10.1166667789221,1.82301383573413
2023-01-27,Fridge,13.7333346158266,2.04405225271024
2023-01-28,Fridge,10.716664865613,1.87362979993634
2023-01-29,Fridge,8.13333548605442,1.55531082827412
2023-01-30,Fridge,10.5833322554827,2.03319638854936
2023-01-31,Fridge,5.3333305567503,1.85588558230475
2023-02-01,Fridge,8.81666779518127,2.32341278156452
2023-02-02,Fridge,7.14999876916409,1.42786791495569
